DAT;Q;T;SPEED;BPK;O2;VZV;BO;NH4;NO2;NO3;H2S;CL;SO4;FEN;NEFT;SPAV;MG;CA;DDT;MINER;DDE;GXA;SMOL;LINDAT;NI;PO4;FE;CU;CR;PB;V;SI;CO;CD;F;MO
19.07.1982;1340;21,3;0,41;-1;7,72;43,1;6,1;0,43;0,001;0,03;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,005;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
09.09.1982;1110;15,8;-1;-1;12,53;25,8;7,2;0,05;-1;0,2;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,003;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
04.11.1982;1410;1,7;-1;-1;12,16;-1;12,8;0,1;-1;0,03;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,01;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
30.01.1984;306;0;-1;4,6;9,54;20,9;12,9;0,01;0,01;0,26;-1;-1;-1;0,016;0,4;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0,01;0,02;7;3;0;-1;-1;-1;-1;-1;-1
28.02.1984;232;0;-1;4,6;12,13;44;9;0,08;0,03;0,48;-1;-1;-1;0,019;0,25;0;-1;-1;-1;-1;-1;-1;-1;-1;2;0,004;0,01;9;2;3;-1;-1;-1;-1;-1;-1
01.04.1984;385;0;-1;1,01;9,55;6,6;7,7;0,2;0,48;0,89;-1;-1;-1;0,004;0,17;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0,016;0,09;2;2;0;-1;-1;-1;-1;-1;-1
03.05.1984;4350;0,4;-1;2,03;7,01;2025;21,6;0,45;0,088;1,28;-1;-1;-1;0,003;0,17;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0,038;0,68;2;0;0;-1;-1;-1;-1;-1;-1
24.05.1984;3130;11,1;-1;1,01;9,97;52,3;10,9;0,15;0,003;0,14;-1;-1;-1;0,003;0,17;0,02;-1;-1;-1;-1;-1;-1;-1;-1;0;0,051;0,07;0;2;0;-1;-1;-1;-1;-1;-1
31.05.1984;3130;12,1;-1;1,01;9,8;40,4;8,5;0,22;0,005;0;-1;-1;-1;-1;0,12;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,005;0,12;-1;-1;-1;-1;-1;-1;-1;-1;-1
04.07.1984;4160;19,8;-1;3,04;9,55;34,8;8,5;0,8;0,002;0,21;-1;-1;-1;0,003;0,28;0,02;-1;-1;-1;-1;-1;-1;-1;-1;0;0,026;0,08;2;8;0;-1;-1;-1;-1;-1;-1
30.07.1984;3470;18,7;-1;1,01;9,76;65,9;6,8;0,1;0,002;0,01;-1;-1;-1;0,004;0,08;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0,016;0,06;3;4;0;-1;-1;-1;-1;-1;-1
14.09.1984;1580;15,6;-1;1,84;9,97;-1;5,8;-1;0,006;0,25;-1;-1;-1;0;0,3;0;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,026;0,04;-1;-1;-1;-1;-1;-1;-1;-1;-1
04.10.1984;1170;7,7;-1;1,02;10,65;18,8;3,9;0,12;0,012;0,12;-1;-1;-1;0;0,34;0,01;-1;-1;0;-1;0;0;-1;-1;0;0,016;0,09;6;1;0;-1;-1;-1;-1;-1;-1
29.11.1984;633;0;-1;0,93;7,69;45;5,8;0,07;0,016;0,18;-1;-1;-1;0,007;0,25;0;-1;-1;-1;-1;-1;-1;-1;-1;0;0,01;0,18;6;-1;15;-1;-1;-1;-1;-1;-1
02.01.1985;387;0;-1;1,1;9,8;6,9;4;0,52;0,025;0,9;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,051;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15.04.1985;534;0,1;-1;2,04;9,98;28,2;10,2;4,42;0,052;0,33;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,082;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
12.05.1985;3069;7,4;-1;3,1;10,4;331;15,2;0,26;0,004;0,02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,016;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
29.05.1985;3081;12,8;-1;2,45;8,82;58;10,1;0,35;0,008;0,19;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,018;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15.08.1985;1660;18,8;-1;0,98;6,44;97,6;6,8;0,62;0,035;0,11;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
19.09.1985;1768;12;-1;1,45;11,1;11,7;13,8;0,11;0,006;0,12;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,062;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
30.09.1985;1169;11,5;-1;1,95;9,65;0;4,6;0,15;0,015;0,1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,031;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
09.10.1985;1078;6,8;-1;2,25;12,6;98,1;5,8;0,17;0,012;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
14.10.1985;1543;4,8;-1;-1;12,6;15,4;-1;0,28;0,015;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15.10.1985;1543;4,8;-1;-1;13,4;67,5;-1;0,7;0,013;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
16.10.1985;1543;4,8;-1;-1;13,4;10,5;-1;0,6;0,019;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
17.10.1985;1543;3,6;-1;-1;10,4;14;-1;0,35;0,019;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
18.10.1985;1543;3,2;-1;-1;10,5;32,3;-1;0,15;0,004;0,14;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,01;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
30.10.1985;1192;2,5;-1;1,49;6,75;144;4,1;0,19;0,003;0,18;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,005;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
15.11.1985;640;0;-1;1,9;14,1;1,6;6,2;0,05;0,009;0,19;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,031;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
28.11.1985;530;0;-1;1,6;11,9;18;8,5;0,3;0,12;0,71;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,107;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
12.12.1985;726;0;-1;1,49;14,4;14,6;8,5;0,2;0,009;0,42;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,63;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
02.01.1986;589;0;0,23;-1;12,7;2,9;6,5;0,2;0,013;0,62;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,004;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
30.01.1986;310;0;0,21;-1;12;0;6;0,3;0,014;0,36;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,007;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
28.02.1986;375;0;0,26;-1;11,4;8,3;5,3;0,61;0,017;0,53;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;0,02;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
